<Ewe/V>	I/mA	Ns	time/s	
1.4128149E+000	3.5246719E+001	6	08/31/2025 13:48:11.8404
1.4127917E+000	3.5253086E+001	6	08/31/2025 13:48:11.9404
1.4127256E+000	3.5208534E+001	6	08/31/2025 13:48:12.0404
1.4127238E+000	3.5221260E+001	6	08/31/2025 13:48:12.1404
1.4127291E+000	3.5265816E+001	6	08/31/2025 13:48:12.2404
1.4127349E+000	3.5176708E+001	6	08/31/2025 13:48:12.3404
1.4127411E+000	3.5208534E+001	6	08/31/2025 13:48:12.4404
1.4127437E+000	3.5170341E+001	6	08/31/2025 13:48:12.5404
1.4127460E+000	3.5233990E+001	6	08/31/2025 13:48:12.6404
1.4127594E+000	3.5278545E+001	6	08/31/2025 13:48:12.7404
1.4127691E+000	3.5214893E+001	6	08/31/2025 13:48:12.8404
1.4127752E+000	3.5189438E+001	6	08/31/2025 13:48:12.9404
1.4127798E+000	3.5195805E+001	6	08/31/2025 13:48:13.0404
1.4127893E+000	3.5246719E+001	6	08/31/2025 13:48:13.1404
1.4127891E+000	3.5183071E+001	6	08/31/2025 13:48:13.2404
1.4127979E+000	3.5202168E+001	6	08/31/2025 13:48:13.3404
1.4128083E+000	3.5202168E+001	6	08/31/2025 13:48:13.4404
1.4128169E+000	3.5189438E+001	6	08/31/2025 13:48:13.5404
1.4128212E+000	3.5157612E+001	6	08/31/2025 13:48:13.6404
1.4128307E+000	3.5163975E+001	6	08/31/2025 13:48:13.7404
1.4128352E+000	3.5170341E+001	6	08/31/2025 13:48:13.8404
1.4128424E+000	3.5246719E+001	6	08/31/2025 13:48:13.9404
1.4128407E+000	3.5246719E+001	6	08/31/2025 13:48:14.0404
1.4128188E+000	3.5195805E+001	6	08/31/2025 13:48:14.1404
1.4127848E+000	3.5214893E+001	6	08/31/2025 13:48:14.2404
1.4127972E+000	3.5208534E+001	6	08/31/2025 13:48:14.3404
1.4128053E+000	3.5208534E+001	6	08/31/2025 13:48:14.4404
1.4128026E+000	3.5259449E+001	6	08/31/2025 13:48:14.5404
1.4128160E+000	3.5157612E+001	6	08/31/2025 13:48:14.6404
1.4128140E+000	3.5208534E+001	6	08/31/2025 13:48:14.7404
1.4128296E+000	3.5246719E+001	6	08/31/2025 13:48:14.8404
1.4128321E+000	3.5208534E+001	6	08/31/2025 13:48:14.9404
1.4128401E+000	3.5227623E+001	6	08/31/2025 13:48:15.0404
1.4128456E+000	3.5240353E+001	6	08/31/2025 13:48:15.1404
1.4128515E+000	3.5233990E+001	6	08/31/2025 13:48:15.2404
1.4128578E+000	3.5278545E+001	6	08/31/2025 13:48:15.3404
1.4128217E+000	3.5163975E+001	6	08/31/2025 13:48:15.4404
1.4127958E+000	3.5214893E+001	6	08/31/2025 13:48:15.5404
1.4127182E+000	3.5132156E+001	6	08/31/2025 13:48:15.6404
1.4127070E+000	3.5233990E+001	6	08/31/2025 13:48:15.7404
1.4127114E+000	3.5246719E+001	6	08/31/2025 13:48:15.8404
1.4127148E+000	3.5253086E+001	6	08/31/2025 13:48:15.9404
1.4127259E+000	3.5259449E+001	6	08/31/2025 13:48:16.0404
1.4127320E+000	3.5246719E+001	6	08/31/2025 13:48:16.1404
1.4127377E+000	3.5176708E+001	6	08/31/2025 13:48:16.2404
1.4127491E+000	3.5208534E+001	6	08/31/2025 13:48:16.3404
1.4127488E+000	3.5233990E+001	6	08/31/2025 13:48:16.4404
1.4127628E+000	3.5183071E+001	6	08/31/2025 13:48:16.5404
1.4127690E+000	3.5297634E+001	6	08/31/2025 13:48:16.6404
1.4127808E+000	3.5189438E+001	6	08/31/2025 13:48:16.7404
1.4127858E+000	3.5240353E+001	6	08/31/2025 13:48:16.8404
1.4127889E+000	3.5233990E+001	6	08/31/2025 13:48:16.9404
1.4127990E+000	3.5253086E+001	6	08/31/2025 13:48:17.0404
1.4128035E+000	3.5253086E+001	6	08/31/2025 13:48:17.1404
1.4128122E+000	3.5246719E+001	6	08/31/2025 13:48:17.2404
1.4128172E+000	3.5176708E+001	6	08/31/2025 13:48:17.3404
1.4128246E+000	3.5253086E+001	6	08/31/2025 13:48:17.4404
1.4128299E+000	3.5304001E+001	6	08/31/2025 13:48:17.5404
1.4128407E+000	3.5221260E+001	6	08/31/2025 13:48:17.6404
1.4128422E+000	3.5214893E+001	6	08/31/2025 13:48:17.7404
1.4128532E+000	3.5233990E+001	6	08/31/2025 13:48:17.8404
1.4128574E+000	3.5202168E+001	6	08/31/2025 13:48:17.9404
1.4128587E+000	3.5246719E+001	6	08/31/2025 13:48:18.0404
1.4128724E+000	3.5227623E+001	6	08/31/2025 13:48:18.1404
1.4128166E+000	3.5272179E+001	6	08/31/2025 13:48:18.2404
